iter	Passed	Remaining
0	145	145161
1	146	72920
2	146	48794
3	147	36719
4	148	29482
5	148	24662
6	149	21212
7	150	18623
8	151	16634
9	151	15037
10	152	13738
11	153	12641
12	154	11710
13	155	10916
14	155	10220
15	156	9615
16	156	9076
17	157	8596
18	158	8182
19	159	7800
20	159	7456
21	160	7138
22	161	6847
23	161	6580
24	162	6337
25	163	6112
26	163	5901
27	164	5708
28	165	5534
29	165	5367
30	166	5214
31	167	5068
32	168	4932
33	168	4798
34	169	4676
35	170	4561
36	171	4452
37	171	4346
38	172	4248
39	173	4163
40	174	4074
41	174	3988
42	175	3909
43	176	3830
44	176	3755
45	177	3685
46	178	3616
47	178	3550
48	179	3489
49	180	3429
50	181	3370
51	181	3314
52	182	3261
53	183	3210
54	184	3161
55	184	3112
56	185	3065
57	186	3021
58	186	2980
59	187	2939
60	188	2899
61	189	2859
62	189	2821
63	190	2783
64	190	2746
65	191	2711
66	192	2678
67	192	2644
68	193	2614
69	194	2583
70	195	2557
71	196	2529
72	196	2499
73	197	2470
74	198	2442
75	198	2415
76	199	2388
77	199	2363
78	200	2339
79	201	2316
80	201	2291
81	202	2269
82	203	2247
83	204	2228
84	204	2203
85	205	2182
86	206	2162
87	206	2142
88	207	2123
89	208	2104
90	209	2089
91	209	2071
92	210	2053
93	211	2034
94	211	2017
95	212	2001
96	213	1984
97	213	1967
98	214	1950
99	215	1935
100	215	1919
101	216	1906
102	217	1892
103	218	1878
104	218	1863
105	219	1849
106	220	1836
107	220	1823
108	221	1809
109	221	1796
110	222	1783
111	223	1772
112	224	1760
113	225	1749
114	225	1737
115	226	1725
116	226	1712
117	227	1700
118	228	1689
119	228	1678
120	229	1668
121	230	1657
122	231	1649
123	232	1641
124	233	1631
125	233	1621
126	234	1611
127	235	1601
128	235	1591
129	236	1582
130	237	1574
131	238	1568
132	239	1561
133	240	1554
134	241	1546
135	242	1538
136	242	1529
137	243	1520
138	244	1512
139	244	1504
140	245	1496
141	246	1488
142	247	1480
143	247	1472
144	248	1464
145	248	1456
146	249	1448
147	250	1440
148	251	1433
149	251	1425
150	252	1418
151	253	1411
152	253	1404
153	254	1397
154	255	1390
155	255	1383
156	256	1376
157	256	1369
158	257	1362
159	258	1355
160	258	1348
161	259	1341
162	260	1337
163	261	1332
164	262	1326
165	262	1319
166	263	1313
167	263	1307
168	264	1301
169	265	1295
170	266	1290
171	266	1284
172	267	1278
173	268	1274
174	269	1269
175	270	1264
176	270	1259
177	271	1254
178	272	1248
179	273	1243
180	273	1238
181	274	1232
182	275	1228
183	275	1223
184	276	1218
185	277	1213
186	277	1208
187	278	1203
188	279	1198
189	279	1193
190	280	1188
191	281	1182
192	281	1177
193	282	1173
194	283	1169
195	283	1164
196	284	1160
197	285	1155
198	285	1150
199	286	1146
200	287	1141
201	287	1137
202	288	1132
203	289	1128
204	289	1124
205	290	1120
206	291	1116
207	292	1111
208	292	1107
209	293	1104
210	294	1099
211	294	1095
212	295	1091
213	295	1086
214	296	1082
215	297	1078
216	298	1075
217	298	1072
218	299	1068
219	300	1064
220	300	1060
221	301	1056
222	302	1052
223	302	1048
224	303	1044
225	303	1040
226	304	1037
227	305	1034
228	306	1030
229	306	1026
230	307	1023
231	308	1019
232	308	1016
233	309	1012
234	309	1008
235	310	1005
236	311	1001
237	311	998
238	312	996
239	313	992
240	314	989
